id,race_id,state_abbrev,state,office_id,office_name,office_seat_name,cycle,stage,special,party,politician_id,candidate_id,candidate_name,ballot_party,ranked_choice_round,votes,percent,unopposed,winner,alt_result_text,source
31184,9356,TN,Tennessee,491,U.S. House,District 8,2022,general,false,"",18821,30690,Lynnette P. Williams,DEM,"",51102,24.297838955851937,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31185,9356,TN,Tennessee,491,U.S. House,District 8,2022,general,false,"",5622,30328,James Hart,IND,"",2541,1.2081877184223664,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31186,9356,TN,Tennessee,491,U.S. House,District 8,2022,general,false,"",10849,30329,Ronnie Henley,IND,"",1070,0.508760668521028,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31188,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",4616,29967,George Flinn,IND,"",3349,2.5007840618886186,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31190,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",4079,29964,Charlotte Bergmann,REP,"",35123,26.227243537089862,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31191,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",10687,29965,Dennis Clark,IND,"",1160,0.8662017055212891,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31192,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",17176,29966,Paul Cook,IND,"",485,0.3621619199808838,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31193,9357,TN,Tennessee,492,U.S. House,District 9,2022,general,false,"",10688,30919,Bobby Lyons,W,"",1,0.0007467256082080079,,false,,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20221108TotalResults.pdf
31199,9150,IA,Iowa,162,U.S. House,District 1,2022,general,false,"",3442,29030,Mariannette Miller-Meeks,REP,"",162947,53.358766127447765,,true,,https://sos.iowa.gov/elections/pdf/2022/general/canvsummary.pdf
31200,9150,IA,Iowa,162,U.S. House,District 1,2022,general,false,"",18038,29620,Christina Bohannan,DEM,"",142173,46.55609404676141,,false,,https://sos.iowa.gov/elections/pdf/2022/general/canvsummary.pdf
31201,9150,IA,Iowa,162,U.S. House,District 1,2022,general,false,"","",,"","","",260,0.085139825790818,,"",Write-in,https://sos.iowa.gov/elections/pdf/2022/general/canvsummary.pdf
31202,9150,IA,Iowa,162,U.S. House,District 1,2022,general,false,"","",,"","","",4308,1.410701421180169,,"",Undervote,https://sos.iowa.gov/elections/pdf/2022/general/canvsummary.pdf
